ID|Q_ID|ANSWER|CORRECT
7870|4|если имеет три поступательных и три вращательных|
7871|28|когда его размерами можно пренебречь|
7872|85|вид плоской кривой|
7873|2|консервативные силы — это такие силы, работа которых по любой замкнутой траектории равна нулю|
7874|99|импульсу силы|
7875|97|внешние и внутренние|
7876|91|от массы и ускорения|
7877|1|никак|
7878|25|начальные условия могут быть разными|
7879|0|минус градиент потенциальной энергии|
7880|53|как точка массой равной сумме масс всех точек и движимая силой равной геометрической силе всех сил действующих на систему|
7881|4|если оно не имеет ограничений в пространственном и вращательном движениях|
7882|62|если движется в трех независимых координатах|
7883|49|если движется в плоскости|
7884|10|если движется по прямой|
7885|82|законы изменения положений тел в пространстве со временем и причины, его вызывающие|
7886|66|если действие внешних сил равно нулю|
7887|15|соблюдение законов сохранения импульса и сохранения энергии|
7888|98|абсолютные|
7889|87|целесообразность и применимость|
7890|31|системы отсчета не выбраны|
7891|81|скорость постоянна|
7892|5|если неконсервативные скомпенсированы|
7893|64|Эта потеря равна половине произведения приведенной массы на квадрат относительной скорости|
7894|59|движение в отсутствие внешних сил|
7895|19|когда момент сил равен нулю|
7896|68|кинетическая энергия всей системы, мысленно сосредоточенная в её центре масс и движущаяся вместе с ним|
7897|41|да ничем же, по физической природе-то|
7898|75|если точка перенесена по лдс|
7899|43|Приведённая масса — условная характеристика распределения масс в движущейся механической системе, зависящая от физических параметров системы и от её закона движения|
7900|31|точка|
7901|66|в замкнутой системе|
7902|91|радиус-вектор|
7903|2|Корректно говорить по любой замкнутой траектории, а не пути|
7904|19|Когда векторная сумма всех моментов импульса системы остается постоянной|
7905|25|Потому что в разных системах отсчета используются разные начальные точки относительно которых происходит движение|
7906|0|сила равна производной от энергии|
7907|62|Если движение этого тела представляет собой большие перемещения|
7908|4|без ограничений|
7909|5|В случае, когда система замкнута|
7910|28|Тело можно принять за материальную точку, если: тело движется поступательно. условие не выполняется, т. к. о движении|
7911|43|понятием приведенной массы механизма и приведенными силами, задачу исследования движения механизма под действием сил можно свести к задаче исследования движения по окружности приведенной массы, под действием приведенной движущей силы и приведенной силы сопротивлений|
7912|53|центр масс системы материальных точек движется как материальная точка, масса которой равна суммарной массе всей системы, а действующая сила – геометрической сумме всех внешних сил, действующих на все точки системы|
7913|41|Действие и противодействие приложены к разным телам|
7914|64|тепла или на изменение масс|
7915|59|Движение тела, которое происходит без внешнего воздействия|
7916|10|Если твердое тело вращается вокруг неподвижной оси|
7917|15|ничего не произойдет|
7918|85|Траектория материальной точки целиком лежит в одной плоскости|
7919|82|Изучает движение макроскопических тел, скорости которых малы по сравнению со скоростью света|
7920|1|Момент инерции перестанет быть постоянной величиной|
7921|68|Кинетическая энергия системы движения центра масс|
7922|99|Силе действующей на эту систему|
7923|98|абсолютная|
7924|49|Если оно движется по окружности|
7925|81|Геометрическая сумма всех внешних сил, приложенных к телу равна нулю|
7926|75|не изменится момент останется прежний|
7927|87|Потому что среди двух тел с одинаковой скоростью, большим импульсом будет обладать то тело, масса которого больше|
7928|97|внутренние|
7929|10|Если твердое тело вращается вокруг неподвижной оси|
7930|59|это движение тела в отсутствие внешних воздействий. Принцип инерции Галилея состоит в том, что если на тело не действуют внешние силы, то оно сохраняет состояние покоя или равномерного и прямолинейного движения.|
7931|0|сила равна производной от энергии|
7932|43|понятием приведенной массы механизма и приведенными силами, задачу исследования движения механизма под действием сил можно свести к задаче исследования движения по окружности приведенной массы, под действием приведенной движущей силы и приведенной силы сопротивлений|
7933|2|Корректно говорить по любой замкнутой траектории, а не пути|
7934|81|Геометрическая сумма всех внешних сил, приложенных к телу равна нулю|
7935|53|центр масс системы материальных точек движется как материальная точка, масса которой равна суммарной массе всей системы, а действующая сила – геометрической сумме всех внешних сил, действующих на все точки системы|
7936|66|Если система замкнута|
7937|62|Если движение этого тела представляет собой большие перемещения|
7938|91|От скоростей этих двух частиц, и их радиус-векторов|
7939|68|кинетическая энергия системы движения центра масс|
7940|28|Когда размеры тела много меньше исследуемого диапазона|
7941|41|Действие и противодействие приложены к разным телам|
7942|49|Если оно движется по окружности|
7943|25|Потому что в разных системах отсчета используются разные начальные точки относительно которых происходит движение|
7944|19|Когда векторная сумма всех моментов импульса системы остается постоянной|
7945|15|ничего|
7946|98|абсолютная|
7947|82|разделафизики, изучающего законы изменения положений тел в пространстве со временем и причины, это вызывающие), основанный назаконах Ньютонаипринципе относительности Галилея|
7948|75|Момент равен силе умноженной на плечо => при переносе силы по линии действия ни чего не изменится момент останется прежний.|
7949|64|потеря на выделение тепла или потери на изменение масс|
7950|1|Момент инерции перестанет быть постоянной величиной|
7951|85|Траектория материальной точки целиком лежит в одной плоскости|
7952|5|В случае когда система замкнута|
7953|97|внешние|
7954|99|Силе действующей на эту систему|
7955|87|так исторически сложилось|
7956|31|Возможно, корректно говорить точка, а не место|
7957|4|Если оно движется без каких либо ограничений|
7958|85|Траектория материальной точки целиком лежит в одной плоскости|
7959|68|кинетическая энергия системы движения центра масс|
7960|43|понятием приведенной массы механизма и приведенными силами, задачу исследования движения механизма под действием сил можно свести к задаче исследования движения по окружности приведенной массы, под действием приведенной движущей силы и приведенной силы сопротивлений|
7961|53|центр масс системы материальных точек движется как материальная точка, масса которой равна суммарной массе всей системы, а действующая сила – геометрической сумме всех внешних сил, действующих на все точки системы|
7962|75|е изменяется при переносе точки приложения силы по линии ее действия, так как при этом не изменяются ни модуль силы, ни ее плечо, ни направление вращения.|
7963|41|Действие и противодействие приложены к разным телам|
7964|31|корректно говорить точка, а не место|
7965|82|Изучает движение макроскопических тел, скорости которых малы по сравнению со скоростью света|
7966|49|Если оно движется по окружности|
7967|28|Когда размеры тела много меньше исследуемого диапазона|
7968|99|Силе действующей на эту систему|
7969|5|В случае когда система замкнута|
7970|98|абсолютная|
7971|0|сила равна производной от энергии|
7972|59|Движение тела, которое происходит без внешнего воздействия|
7973|19|Когда векторная сумма всех моментов импульса системы остается постоянной|
7974|64|потеря на выделение тепла или потери на изменение масс|
7975|81|Геометрическая сумма всех внешних сил, приложенных к телу равна нулю|
7976|15|ничего не произойдет|
7977|1|Момент инерции перестанет быть постоянной величиной|
7978|2|Корректно говорить по любой замкнутой траектории, а не пути|
7979|97|Внешние|
7980|25|Потому что в разных системах отсчета используются разные начальные точки относительно которых происходит движение|
7981|87|Потому что среди двух тел с одинаковой скоростью, большим импульсом будет обладать то тело, масса которого больше|
7982|4|Если оно движется без каких либо ограничений|
7983|91|От скоростей этих двух частиц, и их радиус-векторов|
7984|66|Если система замкнута|
7985|10|Если твердое тело вращается вокруг неподвижной оси|
7986|62|если движение этого тела представляет собой большие перемещения|
7987|68|Кинетическая энергия движения центра масс|
7988|19|Если векторная сумма всех моментов импульса системы остается постоянной|
7989|49|В случае если движется по окружности|
7990|82|законы изменения положений тел в пространстве со временем и причины, его вызывающие|
7991|25|Так как в разных системах отсчета используются разные начальные точки относительно которых происходит движение|
7992|98|Абсолютные системы|
7993|2|Корректно говорить по произвольному замкнутому контуру, а не пути|
7994|85|Плоской кривой|
7995|41|Только знаками, направлением соответственно|
7996|64|На нагрев|
7997|31|В том, что  пространство изменяется со скоростью света|
7998|0|Взять производную|
7999|15|Их движение описывается согласно закону сохранения импульса и закону сохранения энергии|
8000|4|Твёрдое тело движется в трёхмерном пространстве|
8001|1|Момент инерции перестанет быть постоянной величиной|
8002|75|Когда алгебраический момент пары сил будет оставаться неизменным|
8003|66|Если система замкнутая|
8004|28|Когда его размеры много раз меньше расстояния,которое оно проходит|
8005|91|От скоростей этих двух частиц, и их радиус-векторов|
8006|99|равно импульсу силы.|
8007|59|равномерное движение без воздействия внешних сил|
8008|81|когда геометрическая сумма всех внешних сил, приложенных к телу равна нулю|
8009|43|понятием приведенной массы механизма и приведенными силами, задачу исследования движения механизма под действием сил можно свести к задаче исследования движения по окружности приведенной массы, под действием приведенной движущей силы и приведенной силы сопротивлений|
8010|97|Внешние силы|
8011|10|Если твердое тело вращается вокруг неподвижной оси|
8012|53|центр масс системы материальных точек движется как материальная точка, масса которой равна суммарной массе всей системы, а действующая сила – геометрической сумме всех внешних сил, действующих на все точки системы|
8013|5|В случае, когда система замкнута|
8014|87|Потому что среди двух тел с одинаковой скоростью, большим импульсом будет обладать то тело, масса которого больше|
8015|62|если тело перемещается на большие расстояния|
8016|81|Главный вектор и главный момент в системе обязаны быть равными нулю|
8017|25|Одно и то-же механическое явление, наблюдаемое с одинаковыми начальных условиях, будет проходить одинаково во всех инерциальных системах отсчёта|
8018|49|Если тело вращается вокруг неподвижной оси и движется вдоль неё|
8019|4|Если идеально твёрдым телом является молекула с тремя атомами и с жёсткими связями|
8020|75|Момент силы относительно центра не изменяется при переносе точки положения силы вдоль её линии действия|
8021|10|Если одна из точек твёрдого тела закреплена неподвижно|
8022|87|mv может зависеть только от абсолютной скорости и должна совпадать с массой m|
8023|19|Момент импульса замкнутой системы тел не изменяется с течением времени относительно любой неподвижной точки|
8024|82|Законы изменения положения тел в пространстве с течением времени и причины, вызывающие это|
8025|59|Движение тела, которое происходит без воздействия внешних сил|
8026|85|Вид консервативной системы|
8027|91|Зависит от ускорения|
8028|53|Движется как материальная точка|
8029|5|Если между телами системы действуют лишь консервативные силы|
8030|43|Чтобы определить суммарную кинетическую энергию|
8031|99|Равно сумме внешних сил, которые действуют на эту систему|
8032|2|Слово пути следует заменить на полю|
8033|0|Действующая сила равна производной потенциальной энергии с отрицательным знаком|
8034|64|Потеря кинетической энергии макроскопического движения|
8035|98|Инерциальные|
8036|66|Если замкнутая система|
8037|68|Полная энергия кинетической системы станет равна нулю|
8038|15|Они обменяются скоростями|
8039|62|Если тело движется в доль неподвижной оси и вращается вокруг неё|
8040|28|Когда размеры тела меньше расстояния, которое оно проходит|
8041|41|Вектор силы направлен в обратную сторону|
8042|31|Два разных события не могут происходить в одном и том-же месте пространства|
8043|97|Влияют обе|
8044|64|Весьма значительная потеря|
8045|28|Когда масса имеющегося тела меньше расстояния,которое оно проходит и движения поступательны|
8046|25|Причина в относительности Галилея|
8047|97|Влияют обе силы|
8048|19|При условии, что момент внешних сил равен нулю|
8049|49|При условии, что тело лежит на плоской поверхности|
8050|5|Энергия системы будет сохранятся если будут действовать только консервативные силы|
8051|4|Тело обладает таким количеством свобод в общем случае|
8052|75|В случае переноса сил по линии действия|
8053|41|Оно совершенно не отличается|
8054|91|Она зависима от импульса|
8055|62|Если тело находится в Декартовой системе координат|
8056|81|Равняться нулю должны главный вектор и главный момент|
8057|59|Движение по инерции это движение тела без влияния внешних сил|
8058|98|В кинематике привилегированными системами считается левая и правая Декартовы координаты|
8059|53|Движется поступательно и равномерно|
8060|85|Материальная точка в поле центральных сил имеет вид консервативной системы|
8061|15|Обе точки обменяются скоростями|
8062|10|в случае если тело находится на неподвижной прямой|
8063|0|Для этого нужно взять производную от потенциальной энергии с отрицательным  знаком|
8064|99|Сумме воздействующих сил,которые направлены на данную систему|
8065|31|Все дело в относительности событий|
8066|2|Тем, что консервативными называются силы, которые не зависят от формы траектории, а определяются только положением её начальной и конечной точек|
8067|82|Классическая механика изучает причины, которые вызывают изменения расположения тела в пространстве и времени|
8068|81|Главный момент и главный вектор в системе должны равняться нулю|
8069|53|Движется как материальная точка, у которой масса равна сумме массы всей системы|
8070|10|В случае вращения вокруг оси, которая неподвижна|
8071|49|Если оно лежит на любой плоской поверхности|
8072|41|Ничем, кроме направления|
8073|68|Полная энергия кинетической системы станет равна нулю|
8074|2|Не пути, а полю|
8075|59|Когда тело движется без использования внешних сил|
8076|31|Некорректность заключается в относительности событий|
8077|98|Правые и Левые Декартовы координаты|
8078|82|Изучает законы изменения положения тел в пространстве с течением времени и причины, вызывающие это|
8079|4|Три точки, не лежащие на одной прямой, соединённые тремя шарнирами|
8080|25|Одно и то-же механическое явление, имеющее те-же начальные условиях, будет протекать одинаково во всех системах отсчёта|
8081|5|В случае, если только Консервативные силы действуют между телами|
8082|99|Сумме сил, которые воздействуют и направлены на эту систему|
8083|0|Действующая сила будет равна производной потенциальной энергии с не положительным значением|
8084|43|Для определения суммы кинетической энергии механизма|
8085|91|Оно от ускорения зависит|
8086|28|Тело, движущееся поступательно или имеющее размеры, гораздо более меньшие, чем расстояние, которое тело проходит|
8087|15|Они обмениваются скоростями при условии, если масса равна|
8088|66|Замкнутая система|
8089|75|Момент силы относительно центра не изменяется при переносе точки положения силы|
8090|97|Обе силы влияют|
8091|62|В Декартовой системе координат|
8092|64|кинетическая энергия макроскопического движения теряется|
8093|19|Тогда, когда рассматриваем неподвижную точку в инерциальной системе отсчета|
8094|1|Радиальное это движение вдоль радиуса, т. е. в направлении центр-периферия окружности, а тангенциальное в направлении перпендикулярном радиусу, Чтобы описать вращательное движение, связав причину движения (воздействующую силу) и следствие (приобретение углового ускорения), используют основное уравнение динамики вращательного движения: Здесь – момент силы, характеризующий, насколько интенсивно сила воздействует на тело. ... Если момент инерции тела может изменяться во времени (например, в прессах ударного действия с этой целью внутрь маховых масс подают жидкость), то уравнение динамики вращательного движения примет более общий вид: Произведение = L – это момент количества движения всех точек тела относительно оси вращения. Иногда его также называют «импульс вращения|
8095|0|проекция силы на произвольное направление равна по величине и противоположна по знаку производной от потенциальной энергии по этому направлению|
8096|97|Изменение кинетической энергии системы равно работе всех внутренних и внешних сил, действующих на тела системы.|
8097|87|Поскольку было замечено, что сила может быть выражена и как произведение ускорения на массу, и как изменение импульса тела за единицу времени (т. е. частное от деления изменения импульса на время, за которое это изменение произошло). Так как ускорение равно изменению скорости за единицу времени, логично выражать импульс как произведение массы на скорость|
8098|15|происходит потеря кинетической энергии макроскопического движения.|
8099|81|без введения понятия силы, силы сухого трения отсутствуют)? (для равновесия произвольной плоской системы сил, необходимо и достаточно, чтобы суммы проекций всех сил на каждую из двух координатных осей и сумма их моментов относительно любого центра, лежащего в плоскости действия сил, были равны нулю. Теорема о трех моментах. Для равновесия плоской системы сил, действующих на твердое тело, необходимо и достаточно, чтобы суммы моментов этих сил системы относительно трех любых точек, расположенных в плоскости действия сил и не лежащих на одной прямой, были равны нулю|
8100|43|Понятие приведенной массы оказывается применимым в задачах двух тел и при других законах взаимодействия, причем не только в классической, но и квантовой картине взаимодействия|
8101|66|Если векторная сумма всех внешних сил, действующих на систему, равна нулю, то импульс системы сохраняется, то есть не меняется со временем.|
8102|99|Изменение импульса тела равно импульсу равнодействующей всех сил, действующих на тело.|
8103|2|консервативные силы можно определить как силы, работа которых на любом замкнутом пути равна нулю, Силу , действующую на материальную точку, называют консервативной или потенциальной, если работа , совершаемая этой силой при перемещении этой точки из произвольного положения 1 в другое 2, не зависит от того, по какой траектории это перемещение произошло|
8104|91|Сила, с которой одна частица действует на другую, зависит от радиус-векторов и скоростей только этих двух частиц. Присутствие других частиц на эту силу не влияет.|
8105|10|если тело может двигаться только вдоль одной линии, сколь угодно кривой, оно имеет одну степень свободы.|
8106|98|никакой механический эксперимент не в состоянии выделить и сделать привилегированной какую-то одну инерциальную систему отсчёта по сравнению с остальными, Принцип относительности как в классической механике, так и в СТО, тесно связан с привилегированными системами отсчета, так называемыми инерциальными системами отсчета|
8107|41|Только знаками и величиной, при этом каждое пытается компенсировать друг друга и создать в итоге гармонию|
8108|53|Движение центра масс системы идентично движению материальной точки той же массы, что и вся система целиком, к которой приложены все действующие на систему внешние силы.|
8109|25|Инерциальная система отсчёта (ИСО) — система отсчёта, в которой все свободные тела движутся прямолинейно и равномерно, либо покоятся. Эквивалентной является следующая формулировка, удобная для использования в теоретической механике: Инерциальной называется система отсчёта, по отношению к которой пространство является однородным и изотропным, а время — однородным|
8110|59|это движение тела в отсутствие внешних воздействий.|
8111|5|Механическая энергия замкнутой(изолированной) системы тел сохраняется, если на тела системы действуют только консервативные силы. Также механическая энергия сохраняется и в неизолированной системе тел, если работа внешних сил равна нулю и на тела системы действуют только консервативные силы.|
8112|49|Если же твердое тело может скользить вдоль закрепленной оси и одновременно вращаться вокруг нее, то число степеней свободы равно двум.|
8113|62|Если твердое тело движется по некоторой двумерной поверхности.|
8114|28|Материальной точкой называется тело, размерами которого в данных условиях можно пренебречь,если оно движется поступательно или его размеры много меньше расстояний, которые тело проходит|
8115|31|Согласно специальной теории относительности Эйнштейна, невозможно сказать в абсолютном смысле, что два разных события происходят одновременно, если эти события разделены в пространстве, поскольку могут наблюдаться в разных системах отсчета.|
8116|68|Теорема Кёнига позволяет выразить полную кинетическую энергию механической системы через энергию движения центра масс и энергию движения относительно центра масс.Кинетическая энергия механической системы есть энергия движения центра масс плюс энергия движения относительно центра масс: где. — полная кинетическая энергия системы, — кинетическая энергия движения центра масс, — относительная кинетическая энергия системы|
8117|19|Если момент внешних сил относительно неподвижного начала равен нулю, то момент импульса системы относительно того же начала остается постоянным во времени, т. е. сохраняется.|
8118|64|при абсолютно неупругом столкновении двух шаров происходит потеря кинетической энергии макроскопического движения|
8119|82|Раздел физики, наука, изучающая движение материальных тел и взаимодействие между ними; при этом движением в механике называют изменение во времени взаимного положения тел|
8120|4|Свободное твёрдое тело в общем случае имеет 6 степеней свободы. Действительно, положение тела в пространстве относительно какой-либо системы отсчета, определяется заданием трех его точек, не лежащие на одной прямой, и расстояния между точками в твердом теле остаются неизменными при любых его движениях. Согласно выше сказанному, число степеней свободы должно быть равно шести.)|
8121|75|(Момент силы относительно точки не меняется от переноса силы вдоль линии ее действия|
8122|85|траектория - парабола|
8123|82|Раздел физики, наука, изучающая движение материальных тел и взаимодействие между ними; при этом движением в механике называют изменение во времени взаимного положения тел|
8124|43|Понятие приведенной массы оказывается применимым в задачах двух тел и при других законах взаимодействия, причем не только в классической, но и квантовой картине взаимодействия.|
8125|64|при абсолютно неупругом столкновении двух шаров происходит потеря кинетической энергии макроскопического движения.|
8126|19|Если момент внешних сил относительно неподвижного начала равен нулю, то момент импульса системы относительно того же начала остается постоянным во времени, т. е. сохраняется.|
8127|41|Только знаками и величиной, при этом каждое пытается компенсировать друг друга и создать в итоге гармонию|
8128|2|консервативные силы можно определить как силы, работа которых на любом замкнутом пути равна нулю, Силу , действующую на материальную точку, называют консервативной или потенциальной, если работа , совершаемая этой силой при перемещении этой точки из произвольного положения 1 в другое 2, не зависит от того, по какой траектории это перемещение произошло)|
8129|5|Механическая энергия замкнутой(изолированной) системы тел сохраняется, если на тела системы действуют только консервативные силы. Также механическая энергия сохраняется и в неизолированной системе тел, если работа внешних сил равна нулю и на тела системы действуют только консервативные силы.|
8130|97|Изменение кинетической энергии системы равно работе всех внутренних и внешних сил, действующих на тела системы. )|
8131|62|(Если твердое тело движется по некоторой двумерной поверхности.)|
8132|81|для равновесия произвольной плоской системы сил, необходимо и достаточно, чтобы суммы проекций всех сил на каждую из двух координатных осей и сумма их моментов относительно любого центра, лежащего в плоскости действия сил, были равны нулю. Теорема о трех моментах. Для равновесия плоской системы сил, действующих на твердое тело, необходимо и достаточно, чтобы суммы моментов этих сил системы относительно трех любых точек, расположенных в плоскости действия сил и не лежащих на одной прямой, были равны 0|
8133|99|Изменение импульса тела равно импульсу равнодействующей всех сил, действующих на тело.|
8134|49|Если же твердое тело может скользить вдоль закрепленной оси и одновременно вращаться вокруг нее, то число степеней свободы равно двум|
8135|15|происходит потеря кинетической энергии макроскопического движения.|
8136|53|Движение центра масс системы идентично движению материальной точки той же массы, что и вся система целиком, к которой приложены все действующие на систему внешние силы.|
8137|25|Инерциальная система отсчёта (ИСО) — система отсчёта, в которой все свободные тела движутся прямолинейно и равномерно, либо покоятся. Эквивалентной является следующая формулировка, удобная для использования в теоретической механике: Инерциальной называется система отсчёта, по отношению к которой пространство является однородным и изотропным, а время — однородным|
8138|68|Теорема Кёнига позволяет выразить полную кинетическую энергию механической системы через энергию движения центра масс и энергию движения относительно центра масс.Кинетическая энергия механической системы есть энергия движения центра масс плюс энергия движения относительно центра масс: где. — полная кинетическая энергия системы, — кинетическая энергия движения центра масс, — относительная кинетическая энергия системы|
